TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,3.03,3.33,143.525561902575, ,0.0, ,0.0,0.0,1,4.2444444444444445,0.0
1.0,3.0, ,autonomous,0.0,1.0,0.0,0.2705424582284195,1.0,0.0,-23.424480835190703,20.0,0.0,20.0,-23.424480835190703,1.0,1.3004486387405003,3.34,3.7,152.257985931362, ,0.0, ,0.0,0.3400000000000003,1,4.2444444444444445,0.0
2.0,3.0, ,autonomous,0.0,1.0,0.0,0.2705424582284195,1.0,0.0,-5.379885835870869,20.0,0.0,20.0,-5.379885835870869,1.0,3.2949260015912016,3.37,3.67,143.636885952313, ,0.0, ,0.0,0.0,1,4.2444444444444445,0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,0.2623025864042177,1.0,0.0,-1.158565768527101,20.0,0.0,20.0,-1.158565768527101,1.0,3.9851380293503262,3.29,3.45,137.965287933556, ,0.0, ,0.0,-0.1499999999999999,1,4.2444444444444445,0.0
4.0,3.0, ,autonomous,0.0,1.0,0.0,0.2623025864042177,1.0,0.0,0.11811256922812195,20.0,0.0,20.0,0.11811256922812195,1.0,4.818050652133594,5.0,3.9,128.935764202274, ,0.0, ,0.0,1.08,1,4.2444444444444445,0.0
5.0,3.0, ,autonomous,0.0,1.0,0.0,0.2623025864042177,1.0,0.0,0.0986568765972058,20.0,0.0,20.0,0.0986568765972058,1.0,5.624816698472512,3.13,3.4,131.406044678055, ,0.0, ,0.0,-1.1850000000000005,1,4.2444444444444445,0.0
6.0,3.0, ,autonomous,0.0,1.0,0.0,0.2623025864042177,1.0,0.0,0.08249974900152834,20.0,0.0,20.0,0.08249974900152834,1.0,6.266386589985322,3.28,3.58,135.541760416384, ,0.0, ,0.0,0.16500000000000004,1,4.2444444444444445,0.0
7.0,3.0, ,autonomous,0.0,1.0,52.68940260929275,0.2623025864042177,1.0,0.0,0.06385050660177177,20.0,0.0,20.0,0.06385050660177177,1.0,6.867832914665162,3.15,3.46,138.584772305219, ,0.0, ,0.0,-0.125,1,4.2444444444444445,0.0
8.0,3.0, ,autonomous,0.0,1.0,99.9984740978103,0.2623025864042177,1.0,0.0,0.050743627014283255,20.0,0.0,20.0,0.050743627014283255,1.0,7.308376323258244,3.2,3.46,141.33476552562402, ,0.0, ,0.0,0.025000000000000355,1,4.2444444444444445,0.0
9.0,3.0, ,autonomous,0.0,1.0,95.69085221637293,0.2623025864042177,1.0,0.0,0.03200309800861356,20.0,0.0,20.0,0.03200309800861356,1.0,7.8393147948254205,3.22,3.42,142.861224606417, ,0.0, ,0.0,-0.009999999999999787,1,4.2444444444444445,0.0
10.0,3.0, ,autonomous,0.0,1.0,0.0,0.2623025864042177,1.0,0.0,0.020545453283288384,20.0,0.0,20.0,0.020545453283288384,1.0,8.16735988825246,3.21,3.4,143.971896685767, ,0.0, ,0.0,-0.015000000000000568,1,4.2444444444444445,0.0
11.0,3.0, ,autonomous,0.0,1.0,0.0,0.2623025864042177,1.0,0.0,0.013584514881894409,20.0,0.0,20.0,0.013584514881894409,1.0,8.470012818027442,3.02,3.32,145.670667754341, ,0.0, ,0.0,-0.1349999999999998,1,4.2444444444444445,0.0
12.0,3.0, ,autonomous,0.0,1.0,0.0,0.2623025864042177,1.0,0.0,0.011111771900986486,20.0,0.0,20.0,0.011111771900986486,1.0,8.818301560550546,3.14,3.38,146.477222791856, ,0.0, ,0.0,0.08999999999999986,1,4.2444444444444445,0.0
13.0,3.0, ,autonomous,0.0,1.0,0.0,0.20737010757611074,1.0,0.0,0.003882865710803818,20.0,0.0,20.0,0.003882865710803818,1.0,9.023648333189152,3.18,3.48,147.880867173405, ,0.0, ,0.0,0.07000000000000028,1,4.2444444444444445,0.0
14.0,3.0, ,autonomous,0.0,1.0,0.0,0.6028839551384806,1.0,0.0,0.0060216450098356895,20.0,0.0,20.0,0.0060216450098356895,1.0,9.633380878963411,3.27,3.6,148.47369046205, ,0.0, ,0.0,0.10499999999999998,1,4.2444444444444445,0.0
15.0,3.0, ,autonomous,0.0,1.0,0.0,0.3419546807049585,1.0,0.0,0.008092835388461905,20.0,0.0,20.0,0.008092835388461905,1.0,9.95625128726036,3.24,3.52,149.552837017318, ,0.0, ,0.0,-0.05500000000000016,1,4.2444444444444445,0.0
16.0,3.0, ,autonomous,0.0,1.0,0.0,0.009613183794925815,1.0,0.0,0.0072438091769338455,20.0,0.0,20.0,0.0072438091769338455,1.0,10.338496125774652,3.32,3.61,150.525333413613, ,0.0, ,0.0,0.08499999999999996,1,4.2444444444444445,0.0
17.0,3.0, ,autonomous,0.0,1.0,0.0,-0.0508125429159918,1.0,0.0,0.0005939390988121069,20.0,0.0,20.0,0.0005939390988121069,1.0,10.446125051260443,3.33,3.5,151.758885482745, ,0.0, ,0.0,-0.04999999999999982,1,4.2444444444444445,0.0
18.0,3.0, ,autonomous,0.0,1.0,0.0,-0.00686655985350626,1.0,0.0,-0.00130112350424026,20.0,0.0,20.0,-0.00130112350424026,1.0,10.77592697333823,3.44,3.51,152.132903304327, ,0.0, ,0.0,0.05999999999999961,1,4.2444444444444445,0.0
19.0,3.0, ,autonomous,0.0,1.0,0.0,0.061799038681613176,1.0,0.0,-0.0023818166672822977,20.0,0.0,20.0,-0.0023818166672822977,1.0,11.003010459333362,3.4,3.64,153.01282247452298, ,0.0, ,0.0,0.04500000000000037,1,4.2444444444444445,0.0
20.0,3.0, ,autonomous,0.0,1.0,0.0,-0.00686655985350626,1.0,0.0,-0.005080335340773561,20.0,0.0,20.0,-0.005080335340773561,1.0,11.190224199713828,3.42,3.62,153.775180685837, ,0.0, ,0.0,0.0,1,4.2444444444444445,0.0
21.0,3.0, ,autonomous,0.0,1.0,0.0,0.07278553444723458,1.0,0.0,0.0013276242584534849,20.0,0.0,20.0,0.0013276242584534849,1.0,11.386258010318825,3.45,3.64,154.80355428960698, ,0.0, ,0.0,0.02499999999999991,1,4.2444444444444445,0.0
