TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,3.62,3.34,2545.9324401184, ,0.0, ,0.0,-0.0
1.0,3.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-4.282725819707989,20.0,0.0,20.0,-4.282725819707989,1.0,1.0044714819197127,3.57,3.34,2548.8902641567897, ,0.0, ,0.0,-0.0
2.0,3.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-2.7199029799985954,20.0,0.0,20.0,-2.7199029799985954,1.0,2.9827933064592496,3.7,3.5,2551.85496889544, ,0.0, ,0.0,0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-1.7324642347969323,20.0,0.0,20.0,-1.7324642347969323,1.0,4.272617208683006,3.59,3.37,2551.85496889544, ,0.0, ,0.0,-0.0
4.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-1.3840649681464503,20.0,0.0,20.0,-1.3840649681464503,1.0,4.8966189621790885,3.86,3.55,2554.8265783718603, ,0.0, ,0.0,0.0
5.0,5.0,cyclist alarm,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-1.0986820530821344,20.0,0.0,20.0,-1.0986820530821344,1.0,5.5085619403937525,3.45,3.24,2554.8265783718603, ,0.0,false alarm,38.16510009765625,-0.1
6.0,5.0,cyclist alarm,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.8472546043774924,20.0,0.0,20.0,-0.8472546043774924,1.0,6.3703043262886485,3.59,3.36,2554.8265783718603, ,0.0,false alarm,32.30448532104492,-0.0
7.0,5.0,cyclist alarm,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.611112004607369,20.0,0.0,20.0,-0.611112004607369,1.0,7.00588662673478,3.6,3.24,2557.80511673567, ,0.0,false alarm,25.596797943115234,-0.0
8.0,5.0,cyclist alarm,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.4510414313931128,20.0,0.0,20.0,-0.4510414313931128,1.0,7.470375397092467,3.44,3.18,2557.80511673567, ,0.0,false alarm,19.10470962524414,-0.1
9.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.3061486914874685,20.0,0.0,20.0,-0.3061486914874685,1.0,7.8946525754673935,5.0,3.17,2554.8265783718603, ,0.0, ,0.0,0.1
10.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.21755006908903615,20.0,0.0,20.0,-0.21755006908903615,1.0,8.19958400615965,3.55,3.26,2557.80511673567, ,0.0, ,0.0,-0.1
11.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.14320818438110172,20.0,0.0,20.0,-0.14320818438110172,1.0,8.549255378243933,3.74,5.0,2563.78307728832, ,0.0, ,0.0,0.2
12.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.09450082198763476,20.0,0.0,20.0,-0.09450082198763476,1.0,8.865720216412006,3.7,3.64,2563.78307728832, ,0.0, ,0.0,0.0
13.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.06076240243769121,20.0,0.0,20.0,-0.06076240243769121,1.0,9.181364879375508,3.63,3.26,2563.78307728832, ,0.0, ,0.0,-0.0
14.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.042956283641679416,20.0,0.0,20.0,-0.042956283641679416,1.0,9.690615837719632,3.47,3.17,2563.78307728832, ,0.0, ,0.0,-0.1
15.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.02134371614291541,20.0,0.0,20.0,-0.02134371614291541,1.0,10.018255042761847,3.63,3.3,2566.78254834278, ,0.0, ,0.0,-0.0
16.0,5.0, ,autonomous,0.0,1.0,0.0,9.010299839780274,1.0,0.0,-0.018584628115712404,20.0,0.0,20.0,-0.018584628115712404,1.0,10.296943362566774,3.75,3.42,2566.78254834278, ,0.0, ,0.0,-0.0
17.0,5.0, ,autonomous,0.0,1.0,0.0,9.109178301670868,1.0,0.0,-0.007368507060195388,20.0,0.0,20.0,-0.007368507060195388,1.0,10.573909160871693,3.52,3.22,2569.7890460172102, ,0.0, ,0.0,-0.1
18.0,5.0, ,autonomous,0.0,1.0,0.0,9.109178301670868,1.0,0.0,-0.004129557929847774,20.0,0.0,20.0,-0.004129557929847774,1.0,10.798515450329148,3.68,3.33,2566.78254834278, ,0.0, ,0.0,-0.0
19.0,5.0, ,autonomous,0.0,1.0,0.0,9.109178301670868,1.0,0.0,-0.0070854635805094645,20.0,0.0,20.0,-0.0070854635805094645,1.0,11.023914080227566,3.75,3.36,2560.79060824923, ,0.0, ,0.0,-0.0
20.0,5.0, ,autonomous,0.0,1.0,0.0,9.089951934081027,1.0,0.0,0.0009565349660339822,20.0,0.0,20.0,0.0009565349660339822,1.0,11.231655768644004,3.84,3.45,2560.79060824923, ,0.0, ,0.0,0.0
21.0,5.0,obstacle alarm,autonomous,0.0,1.0,0.0,9.081712062256813,1.0,0.0,48.977409090314595,20.0,0.0,20.0,48.977409090314595,1.0,11.427625375915856,3.8,3.45,2557.80511673567,obstacle detected,38.66511917114258,obstacle detected,34.12063980102539,0.0
22.0,5.0,obstacle alarm,autonomous,0.0,1.0,0.0,9.081712062256813,1.0,0.0,13.823009388787408,20.0,0.0,20.0,13.823009388787408,1.0,11.631521451434915,3.74,3.37,2557.80511673567, ,0.0,obstacle detected,22.661680221557614,-0.0
