frame_number,header_frame_id,header_seq,header_stamp_nsecs,header_stamp_secs,markers_marker_name,markers_occluded,markers_segment_name,markers_subject_name,markers_translation_x,markers_translation_y,markers_translation_z
551342,"",77063,768770953,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.399041292,1030.21557305,30.7617194423
551343,"",77064,778759764,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.389849679,1030.21180181,30.7578075018
551344,"",77065,791251699,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.425146474,1030.25691756,30.752139926
551345,"",77066,801466680,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.266342752,1030.38067955,30.8722673923
551349,"",77067,840643308,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.372870662,1030.43101427,30.6483943048
551353,"",77068,879742464,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.425050614,1030.18090278,30.6112576955
551354,"",77069,889418986,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.431832813,1030.13527248,30.8433698777
551355,"",77070,899036092,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.429177624,1030.17948217,30.8337775358
551356,"",77071,908681518,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.438621861,1030.14339675,30.8647409214
551357,"",77072,918771440,1545433868,TELLO1``TELLO2``TELLO3``TELLO4``OBSTACLE1``OBSTACLE2``OBSTACLE3``OBSTACLE4,False``False``False``False``False``False``False``False,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,TELLO``TELLO``TELLO``TELLO``OBSTACLE``OBSTACLE``OBSTACLE``OBSTACLE,820.368010896,1030.1410343,30.9575930423
